Date,Close,Volume
"May 10, 2011","1,357.16",0
"May 9, 2011","1,346.29",0
"May 6, 2011","1,340.20",0
"May 5, 2011","1,335.10",0
"May 4, 2011","1,347.32",0
"May 3, 2011","1,356.62",0
"May 2, 2011","1,361.22",0
"Apr 29, 2011","1,363.61",0
"Apr 28, 2011","1,360.48",0
"Apr 27, 2011","1,355.66",0
"Apr 26, 2011","1,347.24",0
"Apr 25, 2011","1,335.25",0
"Apr 21, 2011","1,337.38",0
"Apr 20, 2011","1,330.36",0
"Apr 19, 2011","1,312.62",0
"Apr 18, 2011","1,305.14",0
"Apr 15, 2011","1,319.68",0
"Apr 14, 2011","1,314.52",0
"Apr 13, 2011","1,314.41",0
"Apr 12, 2011","1,314.16",0
"Apr 11, 2011","1,324.46",0
"Apr 8, 2011","1,328.17",0
"Apr 7, 2011","1,333.51",0
"Apr 6, 2011","1,335.54",0
"Apr 5, 2011","1,332.63",0
"Apr 4, 2011","1,332.87",0
"Apr 1, 2011","1,332.41",0
"Mar 31, 2011","1,325.83",0
"Mar 30, 2011","1,328.26",0
"Mar 29, 2011","1,319.44",0
"Mar 28, 2011","1,310.19",0
"Mar 25, 2011","1,313.80",0
"Mar 24, 2011","1,309.66",0
"Mar 23, 2011","1,297.54",0
"Mar 22, 2011","1,293.77",0
"Mar 21, 2011","1,298.38",0
"Mar 18, 2011","1,279.20",0
"Mar 17, 2011","1,273.72",0
"Mar 16, 2011","1,256.88",0
"Mar 15, 2011","1,281.87",0
"Mar 14, 2011","1,296.39",0
"Mar 11, 2011","1,304.28",0
"Mar 10, 2011","1,295.11",0
"Mar 9, 2011","1,320.02",0
"Mar 8, 2011","1,321.82",0
"Mar 7, 2011","1,310.13",0
"Mar 4, 2011","1,321.15",0
"Mar 3, 2011","1,330.97",0
"Mar 2, 2011","1,308.44",0
"Mar 1, 2011","1,306.33",0
"Feb 28, 2011","1,327.22",0
"Feb 25, 2011","1,319.88",0
"Feb 24, 2011","1,306.10",0
"Feb 23, 2011","1,307.40",0
"Feb 22, 2011","1,315.44",0
"Feb 18, 2011","1,343.01",0
"Feb 17, 2011","1,340.43",0
"Feb 16, 2011","1,336.32",0
"Feb 15, 2011","1,328.01",0
"Feb 14, 2011","1,332.32",0
"Feb 11, 2011","1,329.15",0
"Feb 10, 2011","1,321.87",0
"Feb 9, 2011","1,320.88",0
"Feb 8, 2011","1,324.57",0
"Feb 7, 2011","1,319.05",0
"Feb 4, 2011","1,310.87",0
"Feb 3, 2011","1,307.10",0
"Feb 2, 2011","1,304.03",0
"Feb 1, 2011","1,307.59",0
"Jan 31, 2011","1,286.12",0
"Jan 28, 2011","1,276.34",0
"Jan 27, 2011","1,299.54",0
"Jan 26, 2011","1,296.63",0
"Jan 25, 2011","1,291.18",0
"Jan 24, 2011","1,290.84",0
"Jan 21, 2011","1,283.35",0
"Jan 20, 2011","1,280.26",0
"Jan 19, 2011","1,281.92",0
"Jan 18, 2011","1,295.02",0
"Jan 14, 2011","1,293.24",0
"Jan 13, 2011","1,283.76",0
"Jan 12, 2011","1,285.96",0
"Jan 11, 2011","1,274.48",0
"Jan 10, 2011","1,269.75",0
"Jan 7, 2011","1,271.50",0
"Jan 6, 2011","1,273.85",0
"Jan 5, 2011","1,276.56",0
"Jan 4, 2011","1,270.20",0
"Jan 3, 2011","1,271.89",0
"Dec 31, 2010","1,257.64",0
"Dec 30, 2010","1,257.88",0
"Dec 29, 2010","1,259.78",0
"Dec 28, 2010","1,258.51",0
"Dec 27, 2010","1,257.54",0
"Dec 23, 2010","1,256.77",0
"Dec 22, 2010","1,258.84",0
"Dec 21, 2010","1,254.60",0
"Dec 20, 2010","1,247.08",0
"Dec 17, 2010","1,243.91",0
"Dec 16, 2010","1,242.87",0
"Dec 15, 2010","1,235.23",0
"Dec 14, 2010","1,241.59",0
"Dec 13, 2010","1,240.46",0
"Dec 10, 2010","1,240.40",0
"Dec 9, 2010","1,233.00",0
"Dec 8, 2010","1,228.28",0
"Dec 7, 2010","1,223.75",0
"Dec 6, 2010","1,223.12",0
"Dec 3, 2010","1,224.71",0
"Dec 2, 2010","1,221.53",0
"Dec 1, 2010","1,206.07",0
"Nov 30, 2010","1,180.55",0
"Nov 29, 2010","1,187.76",0
"Nov 26, 2010","1,189.40",0
"Nov 24, 2010","1,198.35",0
"Nov 23, 2010","1,180.73",0
"Nov 22, 2010","1,197.84",0
"Nov 19, 2010","1,199.73",0
"Nov 18, 2010","1,196.69",0
"Nov 17, 2010","1,178.59",0
"Nov 16, 2010","1,178.34",0
"Nov 15, 2010","1,197.75",0
"Nov 12, 2010","1,199.21",0
"Nov 11, 2010","1,213.54",0
"Nov 10, 2010","1,218.71",0
"Nov 9, 2010","1,213.40",0
"Nov 8, 2010","1,223.25",0
"Nov 5, 2010","1,225.85",0
"Nov 4, 2010","1,221.06",0
"Nov 3, 2010","1,197.96",0
"Nov 2, 2010","1,193.57",0
"Nov 1, 2010","1,184.38",0
"Oct 29, 2010","1,183.26",0
"Oct 28, 2010","1,183.78",0
"Oct 27, 2010","1,182.45",0
"Oct 26, 2010","1,185.64",0
"Oct 25, 2010","1,185.62",0
"Oct 22, 2010","1,183.08",0
"Oct 21, 2010","1,180.26",0
"Oct 20, 2010","1,178.17",0
"Oct 19, 2010","1,165.90",0
"Oct 18, 2010","1,184.71",0
"Oct 15, 2010","1,176.19",0
"Oct 14, 2010","1,173.81",0
"Oct 13, 2010","1,178.10",0
"Oct 12, 2010","1,169.77",0
"Oct 11, 2010","1,165.32",0
"Oct 8, 2010","1,165.15",0
"Oct 7, 2010","1,158.06",0
"Oct 6, 2010","1,159.97",0
"Oct 5, 2010","1,160.75",0
"Oct 4, 2010","1,137.03",0
"Oct 1, 2010","1,146.24",0
"Sep 30, 2010","1,141.20",0
"Sep 29, 2010","1,144.73",0
"Sep 28, 2010","1,147.70",0
"Sep 27, 2010","1,142.16",0
"Sep 24, 2010","1,148.67",0
"Sep 23, 2010","1,124.83",0
"Sep 22, 2010","1,134.28",0
"Sep 21, 2010","1,139.78",0
"Sep 20, 2010","1,142.71",0
"Sep 17, 2010","1,125.59",0
"Sep 16, 2010","1,124.66",0
"Sep 15, 2010","1,125.07",0
"Sep 14, 2010","1,121.10",0
"Sep 13, 2010","1,121.90",0
"Sep 10, 2010","1,109.55",0
"Sep 9, 2010","1,104.18",0
"Sep 8, 2010","1,098.87",0
"Sep 7, 2010","1,091.84",0
"Sep 6, 2010","1,104.51",0
"Sep 3, 2010","1,104.51",0
"Sep 2, 2010","1,090.10",0
"Sep 1, 2010","1,080.29",0
"Aug 31, 2010","1,049.33",0
"Aug 30, 2010","1,048.92",0
"Aug 27, 2010","1,064.59",0
"Aug 26, 2010","1,047.22",0
"Aug 25, 2010","1,055.33",0
"Aug 24, 2010","1,051.87",0
"Aug 23, 2010","1,067.36",0
"Aug 20, 2010","1,071.69",0
"Aug 19, 2010","1,075.63",0
"Aug 18, 2010","1,094.16",0
"Aug 17, 2010","1,092.54",0
"Aug 16, 2010","1,079.38",0
"Aug 13, 2010","1,079.25",0
"Aug 12, 2010","1,083.61",0
"Aug 11, 2010","1,089.47",0
"Aug 10, 2010","1,121.06",0
"Aug 9, 2010","1,127.79",0
"Aug 6, 2010","1,121.64",0
"Aug 5, 2010","1,125.81",0
"Aug 4, 2010","1,127.24",0
"Aug 3, 2010","1,120.46",0
"Aug 2, 2010","1,125.86",0
"Jul 30, 2010","1,101.60",0
"Jul 29, 2010","1,101.53",0
"Jul 28, 2010","1,106.13",0
"Jul 27, 2010","1,113.84",0
"Jul 26, 2010","1,115.01",0
"Jul 23, 2010","1,102.66",0
"Jul 22, 2010","1,093.67",0
"Jul 21, 2010","1,069.59",0
"Jul 20, 2010","1,083.48",0
"Jul 19, 2010","1,071.25",0
"Jul 16, 2010","1,064.88",0
"Jul 15, 2010","1,096.48",0
"Jul 14, 2010","1,095.17",0
"Jul 13, 2010","1,095.34",0
"Jul 12, 2010","1,078.75",0
"Jul 9, 2010","1,077.96",0
"Jul 8, 2010","1,070.25",0
"Jul 7, 2010","1,060.27",0
"Jul 6, 2010","1,028.06",0
"Jul 5, 2010","1,022.58",0
"Jul 2, 2010","1,022.58",0
"Jul 1, 2010","1,027.37",0
"Jun 30, 2010","1,030.71",0
"Jun 29, 2010","1,041.24",0
"Jun 28, 2010","1,074.57",0
"Jun 25, 2010","1,076.76",0
"Jun 24, 2010","1,073.69",0
"Jun 23, 2010","1,092.04",0
"Jun 22, 2010","1,095.31",0
"Jun 21, 2010","1,113.20",0
"Jun 18, 2010","1,117.51",0
"Jun 17, 2010","1,116.04",0
"Jun 16, 2010","1,114.61",0
"Jun 15, 2010","1,115.23",0
"Jun 14, 2010","1,089.63",0
"Jun 11, 2010","1,091.60",0
"Jun 10, 2010","1,086.84",0
"Jun 9, 2010","1,055.69",0
"Jun 8, 2010","1,062.00",0
"Jun 7, 2010","1,050.47",0
"Jun 4, 2010","1,064.88",0
"Jun 3, 2010","1,102.83",0
"Jun 2, 2010","1,098.38",0
"Jun 1, 2010","1,070.71",0
"May 31, 2010","1,089.41",0
"May 28, 2010","1,089.41",0
"May 27, 2010","1,103.06",0
"May 26, 2010","1,067.95",0
"May 25, 2010","1,074.03",0
"May 24, 2010","1,073.65",0
"May 21, 2010","1,087.69",0
"May 20, 2010","1,071.59",0
"May 19, 2010","1,115.05",0
"May 18, 2010","1,120.80",0
"May 17, 2010","1,136.94",0
"May 14, 2010","1,135.68",0
"May 13, 2010","1,157.43",0
"May 12, 2010","1,171.67",0
"May 11, 2010","1,155.79",0
"May 10, 2010","1,159.73",0
"May 7, 2010","1,110.88",0
"May 6, 2010","1,128.15",0
"May 5, 2010","1,165.87",0
"May 4, 2010","1,173.60",0
"May 3, 2010","1,202.26",0
"Apr 30, 2010","1,186.68",0
"Apr 29, 2010","1,206.78",0
"Apr 28, 2010","1,191.36",0
"Apr 27, 2010","1,183.71",0
"Apr 26, 2010","1,212.05",0
"Apr 23, 2010","1,217.28",0
"Apr 22, 2010","1,208.67",0
"Apr 21, 2010","1,205.93",0
"Apr 20, 2010","1,207.17",0
"Apr 19, 2010","1,197.52",0
"Apr 16, 2010","1,192.13",0
"Apr 15, 2010","1,211.67",0
"Apr 14, 2010","1,210.65",0
"Apr 13, 2010","1,197.30",0
"Apr 12, 2010","1,196.48",0
"Apr 9, 2010","1,194.37",0
"Apr 8, 2010","1,186.43",0
"Apr 7, 2010","1,182.44",0
"Apr 6, 2010","1,189.43",0
"Apr 5, 2010","1,187.43",0
"Apr 2, 2010","1,178.10",0
"Apr 1, 2010","1,178.10",0
"Mar 31, 2010","1,169.43",0
"Mar 30, 2010","1,173.27",0
"Mar 29, 2010","1,173.22",0
"Mar 26, 2010","1,166.59",0
"Mar 25, 2010","1,165.73",0
"Mar 24, 2010","1,167.72",0
"Mar 23, 2010","1,174.17",0
"Mar 22, 2010","1,165.81",0
"Mar 19, 2010","1,159.90",0
"Mar 18, 2010","1,165.82",0
"Mar 17, 2010","1,166.21",0
"Mar 16, 2010","1,159.46",0
"Mar 15, 2010","1,150.51",0
"Mar 12, 2010","1,149.99",0
"Mar 11, 2010","1,150.24",0
"Mar 10, 2010","1,145.61",0
"Mar 9, 2010","1,140.44",0
"Mar 8, 2010","1,138.50",0
"Mar 5, 2010","1,138.69",0
"Mar 4, 2010","1,122.97",0
"Mar 3, 2010","1,118.79",0
"Mar 2, 2010","1,118.31",0
"Mar 1, 2010","1,115.71",0
"Feb 26, 2010","1,104.49",0
"Feb 25, 2010","1,102.93",0
